CellID,DNA_6,ELANE,CD57,CD45,DNA_7,CD11B,SMA,CD16,DNA_8,ECAD,FOXP3,NCAM,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
2738,14853.566666666668,2032.5958333333333,208.72083333333333,555.25,8340.704166666666,1142.9583333333333,512.0208333333334,399.03333333333336,9995.3125,1815.6708333333333,324.06666666666666,941.6666666666666,735.3875,875.6208333333333,240,21.465476319746536,15.667286999412385,0.6835720558431442,0.8633093525179856,0.5797101449275363,0.13325060892395826
2739,23286.213675213676,1378.128205128205,195.35897435897436,1373.2991452991453,12309.213675213676,1037.008547008547,1146.5128205128206,394.64102564102564,15347.384615384615,1178.5299145299145,352.6837606837607,902.042735042735,1007.6666666666666,871.5213675213676,117,16.06653543959921,9.569144974447509,0.803285026175828,0.8863636363636364,0.73125,1.3634853398044826
2740,25171.493506493505,1321.7792207792209,183.4805194805195,1075.4415584415585,13575.454545454546,1003.9350649350649,789.4415584415584,418.76623376623377,16646.03896103896,1181.142857142857,313.2207792207792,895.1558441558442,1024.7792207792209,872.5194805194806,77,11.455971286654485,9.035324690469727,0.6147782455320538,0.9058823529411765,0.6363636363636364,0.8653876444485512
2741,23214.80701754386,1396.4035087719299,226.80701754385964,1681.0877192982457,12378.421052631578,1094.0,824.6666666666666,373.0701754385965,15456.894736842105,1181.298245614035,347.57894736842104,911.1754385964912,872.5438596491229,871.9122807017544,57,9.662281650160246,7.895952692999722,0.5763635692755714,0.8769230769230769,0.7125,-1.4212199797296448
2742,28836.308823529413,1524.6176470588234,222.69117647058823,2347.4411764705883,15239.382352941177,1074.7058823529412,961.3823529411765,391.79411764705884,19165.367647058825,1223.0294117647059,356.3970588235294,932.1029411764706,987.5,872.5147058823529,68,10.13922293075671,8.664586031310519,0.5193507841044886,0.8831168831168831,0.68,1.3086229556903093
2743,29032.385245901638,1362.4262295081967,176.7295081967213,1439.4016393442623,15447.959016393443,984.3934426229508,1607.0655737704917,370.77868852459017,19734.196721311477,1172.9344262295083,297.9344262295082,878.6639344262295,1092.0655737704917,874.9672131147541,122,16.990497345110068,10.497038689573778,0.7863209630973984,0.7973856209150327,0.5422222222222223,-0.8212878990611657
2744,31616.478873239437,1524.7323943661972,230.57746478873239,1950.380281690141,16806.845070422536,1092.2535211267605,1050.718309859155,372.15492957746477,20673.6338028169,1257.4084507042253,345.3943661971831,911.2676056338029,1118.0985915492959,871.9577464788732,71,12.364883626047574,7.486809936110207,0.7958531257989286,0.8765432098765432,0.6068376068376068,-1.3757530915944371
2745,29452.2,1507.2307692307693,215.93846153846152,574.6,16555.69230769231,1710.0923076923077,1098.2615384615385,386.6923076923077,20974.753846153846,1229.3384615384616,342.6461538461538,912.4615384615385,1175.4615384615386,872.4307692307692,65,10.492507750089734,8.195167615037978,0.624469155148108,0.9154929577464789,0.7222222222222222,0.08688132655618094
2746,18591.144,1748.544,928.784,377.064,10801.712,1165.016,551.536,517.16,13355.728,1389.2,377.104,955.696,1414.896,874.224,125,14.298561536342442,11.189247784879399,0.622595790128194,0.9615384615384616,0.8012820512820513,-0.5543024548147313
2747,25680.576470588236,1436.4941176470588,312.77647058823527,941.9411764705883,14773.082352941177,1310.5529411764705,1182.4352941176471,1032.5882352941176,18742.63529411765,1237.035294117647,381.8941176470588,939.3058823529411,1631.164705882353,874.6235294117647,85,13.039571352938305,8.416906760565892,0.7637691202067663,0.9239130434782609,0.6746031746031746,-0.11824925385059672
2748,18980.530120481926,1338.1084337349398,279.2289156626506,1392.3493975903614,11871.638554216868,844.0240963855422,795.7469879518072,995.5180722891566,14675.530120481928,1184.9277108433735,405.0722891566265,915.9036144578313,1679.2168674698796,874.5783132530121,83,13.694134493421512,7.848308903777459,0.8194752065495775,0.9540229885057471,0.7980769230769231,0.21067014216014604
2749,15717.166666666666,1663.0,280.2878787878788,323.3787878787879,9750.348484848484,1041.7727272727273,515.560606060606,429.09090909090907,12162.212121212122,1404.9848484848485,390.25757575757575,917.8787878787879,1724.2727272727273,872.2575757575758,66,10.735617469776544,7.851523783015891,0.6819993382402002,0.9428571428571428,0.7333333333333333,0.4555346196130754
2750,14123.478260869566,1205.791304347826,169.63478260869564,729.3739130434783,8705.765217391305,1130.8608695652174,1433.713043478261,2652.878260869565,9899.2,1030.8260869565217,254.84347826086957,902.1652173913044,56.65217391304348,877.5391304347826,115,22.234236280421925,6.811134535562359,0.951923630712467,0.8914728682170543,0.5043859649122807,-0.407896747414233
2751,19547.6625,1220.60625,167.5375,927.56875,12464.6,798.8625,5616.8625,410.0625,14154.8375,1045.975,273.6,898.5875,74.71875,876.2375,160,14.981647163710175,14.774373870391086,0.16576755725273126,0.8888888888888888,0.6666666666666666,-0.24131862895068493
2752,6859.966942148761,2016.3801652892562,251.49586776859505,346.9504132231405,4009.0247933884298,1225.2727272727273,426.45454545454544,364.06611570247935,4499.140495867769,2848.6528925619837,256.06611570247935,892.2892561983471,165.27272727272728,875.7520661157025,121,13.921203258355463,11.365892072890182,0.5774236882651549,0.8832116788321168,0.6648351648351648,-0.7005133128011397
2753,29885.703125,1485.890625,242.390625,2966.90625,15878.78125,1016.625,933.703125,392.703125,19985.59375,1295.4375,383.5625,900.796875,902.0625,873.421875,64,12.144282514730126,6.8815874587496255,0.8239569158654966,0.927536231884058,0.6464646464646465,-0.48279978239317706
2754,31325.575757575756,1476.0757575757575,284.09090909090907,1747.4848484848485,18984.045454545456,914.8181818181819,878.7121212121212,578.9090909090909,24408.257575757576,1258.909090909091,429.6666666666667,914.030303030303,1612.030303030303,874.3939393939394,66,11.213428726651417,8.045558330291296,0.696565557394325,0.8571428571428571,0.6875,-0.3332145565901079
2755,14234.220125786163,1910.2798742138364,258.79245283018867,320.8050314465409,8491.393081761007,922.0817610062893,408.7358490566038,377.6635220125786,9707.459119496856,2367.553459119497,262.8553459119497,899.4716981132076,205.12264150943398,878.311320754717,318,25.43658537905352,15.954142138308336,0.7788482437531711,0.9352941176470588,0.7482352941176471,-1.5015887429865453
